199509250006,1995,9,25,"",0,"",158,3,South America,Asuncion,Asuncion,-25.282773,-57.63561,1,0,"","",1,1,1,0,"","",1,1,0,8,Unarmed Assault,"","","","",19,Transportation,99,Bus (excluding tourists),Cetrapam Transportation Company,Bus,158,Paraguay,"","","","","","","","","","","","","","","","",Strikers,"","","","","","",0,"","",0,"","","","","","","","","","","","",9,Melee,21,Blunt Object,"","","","","","","","","","","","",Stones,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,"199509250006, 199509250002, 199509250003, 199509250004, 199509250005, 199509250007, 199509250008, 199509250009, 199509250010, 199509250011"
199509250007,1995,9,25,"",0,"",158,3,South America,Asuncion,Asuncion,-25.282773,-57.63561,1,0,"","",1,1,1,0,"","",1,1,0,8,Unarmed Assault,"","","","",19,Transportation,99,Bus (excluding tourists),Cetrapam Transportation Company,Bus,158,Paraguay,"","","","","","","","","","","","","","","","",Strikers,"","","","","","",0,"","",0,"","","","","","","","","","","","",9,Melee,21,Blunt Object,"","","","","","","","","","","","",Stones,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,"199509250007, 199509250002, 199509250003, 199509250004, 199509250005, 199509250006, 199509250008, 199509250009, 199509250010, 199509250011"
199509250008,1995,9,25,"",0,"",158,3,South America,Asuncion,Asuncion,-25.282773,-57.63561,1,0,"","",1,1,1,0,"","",1,1,0,8,Unarmed Assault,"","","","",19,Transportation,99,Bus (excluding tourists),Cetrapam Transportation Company,Bus,158,Paraguay,"","","","","","","","","","","","","","","","",Strikers,"","","","","","",0,"","",0,"","","","","","","","","","","","",9,Melee,21,Blunt Object,"","","","","","","","","","","","",Stones,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,"199509250008, 199509250002, 199509250003, 199509250004, 199509250005, 199509250006, 199509250007, 199509250009, 199509250010, 199509250011"
199509250009,1995,9,25,"",0,"",158,3,South America,Asuncion,Asuncion,-25.282773,-57.63561,1,0,"","",1,1,1,0,"","",1,1,0,8,Unarmed Assault,"","","","",19,Transportation,99,Bus (excluding tourists),Cetrapam Transportation Company,Bus,158,Paraguay,"","","","","","","","","","","","","","","","",Strikers,"","","","","","",0,"","",0,"","","","","","","","","","","","",9,Melee,21,Blunt Object,"","","","","","","","","","","","",Stones,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,"199509250009, 199509250002, 199509250003, 199509250004, 199509250005, 199509250006, 199509250007, 199509250008, 199509250010, 199509250011"
199509250010,1995,9,25,"",0,"",158,3,South America,Asuncion,Asuncion,-25.282773,-57.63561,1,0,"","",1,1,1,0,"","",1,1,0,8,Unarmed Assault,"","","","",19,Transportation,99,Bus (excluding tourists),Cetrapam Transportation Company,Bus,158,Paraguay,"","","","","","","","","","","","","","","","",Strikers,"","","","","","",0,"","",0,"","","","","","","","","","","","",9,Melee,21,Blunt Object,"","","","","","","","","","","","",Stones,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,"199509250010, 199509250002, 199509250003, 199509250004, 199509250005, 199509250006, 199509250007, 199509250008, 199509250009, 199509250011"
199509250011,1995,9,25,"",0,"",158,3,South America,Asuncion,Asuncion,-25.282773,-57.63561,1,0,"","",1,1,1,0,"","",1,1,0,8,Unarmed Assault,"","","","",19,Transportation,99,Bus (excluding tourists),Cetrapam Transportation Company,Bus,158,Paraguay,"","","","","","","","","","","","","","","","",Strikers,"","","","","","",0,"","",0,"","","","","","","","","","","","",9,Melee,21,Blunt Object,"","","","","","","","","","","","",Stones,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,"199509250011, 199509250002, 199509250003, 199509250004, 199509250005, 199509250006, 199509250007, 199509250008, 199509250009, 199509250010"
199704150002,1997,4,15,"",0,"",158,3,South America,Asuncion,Asuncion,-25.282773,-57.63561,1,0,"","",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,3,Bombing/Explosion,"","","","",4,Military,27,Military Barracks/Base/Headquarters/Checkpost,Govt,Armed Forces Gen. Staff Bldg,158,Paraguay,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,1,"","","","","","","","","","","",6,Explosives,7,Grenade,"","","","","","","","","","","","",Grenade,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199706140009,1997,6,14,"",0,"",158,3,South America,Alto Parana,Minga Guazu District,-25.530201,-54.829126,3,0,"","",1,1,1,0,"","",0,1,0,4,Hijacking,"","","","",4,Military,35,Military Transportation/Vehicle (excluding convoys),govt,Vehicle of retired Gen. Lino Cesar Oviedo,158,Paraguay,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,5,"","","","","","","","","","","",5,Firearms,5,Unknown Gun Type,"","","","","","","","","","","","",Firearm,0,"","",1,"","",0,"","","","",1,-99,0,0,"","",Paraguay,0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199706220006,1997,6,22,"",0,"",158,3,South America,Asuncion,Asuncion,-25.282773,-57.63561,1,0,"","",1,1,1,-9,"","",0,1,0,2,Armed Assault,"","","","",7,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)",govt,Res. of Diplomat,216,Great Britain,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,5,Unknown Gun Type,"","","","","","","","","","","","",Firearm,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
199711060002,1997,11,6,"",0,"",158,3,South America,Asuncion,Asuncion,-25.282773,-57.63561,1,0,"","",1,1,1,-9,"","",0,1,0,2,Armed Assault,"","","","",19,Transportation,99,Bus (excluding tourists),"",Bus,158,Paraguay,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",8,Incendiary,"","","","","","","","","","","","","","","",0,"","",8,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199711160001,1997,11,16,"",0,"",158,3,South America,Alto Parana,Ciudad del Este,-25.51671,-54.616859,1,0,"","",1,1,1,-9,"","",0,1,0,1,Assassination,"","","","",1,Business,"","","",Chun Liang Chang,158,Paraguay,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,5,Unknown Gun Type,"","","","","","","","","","","","",Firearm,1,"","",0,"","",0,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199711190003,1997,11,19,"",0,"",158,3,South America,Asuncion,Asuncion,-25.282773,-57.63561,1,0,"","",1,1,1,-9,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Colorado Party,HQ,158,Paraguay,"","","","","","","","","","","","","","","","",Supporters of ret. Gen. Lino Oviedo,"","","","","","",0,"","",0,"","","","","","","","","","","","",9,Melee,21,Blunt Object,"","","","","","","","","","","","",Stones,0,"","",3,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,0,0,0,""
199903230001,1999,3,23,"",0,"",158,3,South America,Asuncion,Asuncion,-25.282773,-57.63561,1,0,"","03/23/1999: Paraguayan Vice President Dr. Luis Maria Argana was assassinated in Asunci�n, Paraguay by three men dressed in military uniforms, two armed with shotguns and one with a pistol. Another man was a driver of the getaway car. The Vice President was shot ten times in his car. His body guard, Francisco Barrios Gonzalez was also killed, but his driver, Victor Raul Barrios escaped with injuries. Two hand grenades left at the scene were disarmed by the bomb squad.",1,1,1,0,"","",0,1,0,1,Assassination,"","","","",2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Paraguay National Government,Vice President Dr. Luis Maria Argana,158,Paraguay,"","","","","","","","","","","","","","","","",Unknown,"","","","","",Unknown,0,"","",0,4,0,0,"","","","","","","","","",5,Firearms,4,Rifle/Shotgun (non-automatic),5,Firearms,3,Handgun,6,Explosives,7,Grenade,"","","","","",2,0,0,1,0,0,0,"","","","",0,"","","","","","","","","","","","","","","","","�Reporter Gives Details of Argana�s Assassination,� Cerro Cora Sistema Nacional de Television, March 23, 1999.","�Six Colombians Questioned on Argana Assassination,� Telam, March 25, 1999.","",CETIS,-9,-9,0,-9,""
200001230002,2000,1,23,"",0,"",158,3,South America,Asuncion,Asuncion,-25.282773,-57.63561,1,0,"","01/23/2000: The headquarters of the National Republic Association, or the Colorado Party (ANR), Colorado Reconciliation Movement (MRC) in Asuncion, Paraguay, was attacked with a homemade explosive device. Damage was caused to the walls, ceiling, and doors within 23 feet.  No group claimed responsibility for the incident.",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Colorado Reconciliation Movement (MRC),"The headquarters of the National Republic Association, or the Colorado Party (ANR), Colorado Reconciliation Movement (MRC)",158,Paraguay,"","","","","","","","","","","","","","","","",Unknown,"","","","","",Unknown,0,"","",0,"",0,0,"","","","","","","","","",6,Explosives,17,Other Explosive Type,"","","","","","","","","","","","",A home-made device was used,0,0,0,0,0,0,1,3,Minor (likely < $1 million),"",Windows were broken and the office was damaged in the blast,0,"","","","","","","","","","","","","","","","","�Police Investigating Explosion at MRC Headquarters,� ABC Color (Internet version), January 24, 2000.","�Minister Blames Explosion on 'Oviedo, the Assassin',� Agence France Presse to Mexico Central America and the Caribbean, January 23, 2000.","",CETIS,-9,-9,0,-9,""
200005190001,2000,5,19,"",0,"",158,3,South America,Asuncion,Asuncion,-25.282773,-57.63561,1,0,"",05/19/2000: Forces loyal to a fugitive coup leader Gen. Lino Oviedo tried to topple the Paraguayan government by driving tanks through the center of the capital and blasting a hole in the Congress building before being persuaded to lay down their arms. The perpetrators of the attack were later arrested. Three civilians were injured in the attack.,1,1,1,0,"","",0,0,0,7,Facility/Infrastructure Attack,3,Bombing/Explosion,"","",2,Government (General),18,"Government Personnel (excluding police, military)",Government of Paraguay,"Top Paraguay government officials, including President Luis Gonzalez Macchi and the Speaker of Congress, Juan Carlos Galaverna",158,Paraguay,"","","","","","","","","","","","","","","","",Supporters of General Lino Oviedo,"","","","","",Rebels wanted to overthrow the existing government and kill top government officials.,0,"","",0,"",32,1,2,Call (post-incident),"","","","","","",-9,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",5,Firearms,5,Unknown Gun Type,"","","","","","","","",Tanks and light firearms were used in the attack.,0,0,0,3,0,0,1,2,Major (likely >= $1 million but < $1 billion),"",Rebels blew a hole in the building's fa�ade.,0,"","","","","","","","","","","","","","","","It was the third time in four years that Paraguay's weak democracy was threatened with a relapse into military rule. Each time Oviedo, a former army chief, has been near the center of events and each time the United States, Brazil and Argentina exerted pressure to ensure democracy survived in Paraguay. Oviedo, like Cubas and Gonzalez Macchi, were all members of the Colorado Party, which had ruled Paraguay without interruption for half a century as of May 2000.","�Coup attempt fails in Paraguay,� Deseret News (Salt Lake City), May 19, 2000.","�Shooting Starts Near Legislative Palace,� Madrid EFE, May 19, 2000.","",CETIS,0,0,0,0,""
