198909080020,1989,9,8,"",0,"",55,8,Western Europe,Capital,Copenhagen,55.676075,12.568316,1,0,"","",1,1,1,-9,"","",0,1,0,9,Unknown,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,South African State Dept.,South African Consulate,183,South Africa,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,40,"","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
199111110003,1991,11,11,"",0,"",55,8,Western Europe,Capital,Copenhagen,55.676075,12.568316,1,0,"","",1,1,1,-9,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",6,Airports & Aircraft,43,Airline Officer/Personnel,Turkish Airlines,Offices*,209,Turkey,"","","","","","","","","","","","","","","","",Kurdish Separatists,"","","","","","",0,"","",0,"","","","","","","","","","","","",8,Incendiary,"","","","","","","","","","","","","","",Incendiary,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
199203160003,1992,3,16,"",0,"",55,8,Western Europe,Capital,Copenhagen,55.676075,12.568316,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,International Socialist Party,Headquarters,55,Denmark,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,1,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199204020017,1992,4,2,"",0,"",55,8,Western Europe,Capital,Copenhagen,55.676075,12.568316,1,0,"","",1,1,1,0,"","",0,1,0,9,Unknown,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,Turkey State Dept,Turkish Embassy Information Section,209,Turkey,"","","","","","","","","","","","","","","","",BZers,"","","","","","",0,"","",0,4,"","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,1,1,1,""
199204050007,1992,4,5,"",0,"",55,8,Western Europe,Capital,Copenhagen,55.676075,12.568316,1,0,"","",1,1,1,-9,"","",0,1,0,9,Unknown,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,Iran State dept,Iranian Embassy,94,Iran,"","","","","","","","","","","","","","","","",Anti-Iran Government Exiles,"","","","","","",0,"","",0,50,"","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
199208250008,1992,8,25,"",0,"",55,8,Western Europe,Capital,Copenhagen,55.676075,12.568316,1,0,"","",1,1,1,0,"","",0,1,0,9,Unknown,"","","","",6,Airports & Aircraft,43,Airline Officer/Personnel,Turkish Airlines,Office,209,Turkey,"","","","","","","","","","","","","","","","",Kurdistan Workers' Party (PKK),"","","","","","",0,"","",0,30,"","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,1,0,1,1,""
199501010004,1995,1,1,"",0,"",55,8,Western Europe,Capital,Copenhagen,55.676075,12.568316,1,0,"","",1,1,1,-9,"","",0,1,0,9,Unknown,"","","","",1,Business,7,Retail/Grocery/Bakery,unknown,shop,55,Denmark,"","","","","","","","","","","","","","","","",Anarchists,"","","","","","",0,"","",0,"","","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199501010005,1995,1,1,"",0,"",55,8,Western Europe,Capital,Copenhagen,55.676075,12.568316,1,0,"","",1,1,1,-9,"","",1,1,0,9,Unknown,"","","","",1,Business,3,Bank/Commerce,unknown,bank,55,Denmark,"","","","","","","","","","","","","","","","",Anarchists,"","","","","","",0,"","",0,"","","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,"199501010005, 199501010006"
199501010006,1995,1,1,"",0,"",55,8,Western Europe,Capital,Copenhagen,55.676075,12.568316,1,0,"","",1,1,1,-9,"","",1,1,0,9,Unknown,"","","","",1,Business,3,Bank/Commerce,unknown,bank,55,Denmark,"","","","","","","","","","","","","","","","",Anarchists,"","","","","","",0,"","",0,"","","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,"199501010006, 199501010005"
199501010007,1995,1,1,"",0,"",55,8,Western Europe,Capital,Copenhagen,55.676075,12.568316,1,0,"","",1,1,1,-9,"","",0,1,0,9,Unknown,"","","","",1,Business,4,Multinational Corporation,McDonald's,restaurant,55,Denmark,"","","","","","","","","","","","","","","","",Anarchists,"","","","","","",0,"","",0,"","","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199505010002,1995,5,1,"",0,"",55,8,Western Europe,Capital,Copenhagen,55.676075,12.568316,1,0,"","",1,1,1,-9,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",6,Airports & Aircraft,43,Airline Officer/Personnel,Turkish Airliner,office,209,Turkey,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,3,"","","","","","","","","","","",8,Incendiary,"","","","","","","","","","","","","","","",0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
199505110006,1995,5,11,"",0,"",55,8,Western Europe,Central Jutland,Anholt,56.703981,11.544876,1,0,"","",1,1,1,-9,"","",0,1,0,4,Hijacking,"","","","",11,Maritime,57,Civilian Maritime,unknown,ferry,55,Denmark,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,1,"","","","","","","","","","","",5,Firearms,5,Unknown Gun Type,"","","","","","","","","","","","",Firearm,0,"","",0,"","",0,"","","","",1,22,0,"","","",Denmark,0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199909170002,1999,9,17,"",0,"",55,8,Western Europe,Capital,Copenhagen,55.676075,12.568316,1,0,"","09/17/1999: Unknown assailants threw a petrol bomb at the Austrian Embassy in Copenhagen, Denmark. There were no casualties and only minor fire damage to the building occurred.",1,1,1,1,2,Other Crime Type,0,1,0,3,Bombing/Explosion,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,Austrian Ministry of Foreign Affairs,"Austrian Embassy in Copenhagen, Austria",15,Austria,"","","","","","","","","","","","","","","","",Unknown,"","","","","",Unknown,0,"","",0,"",0,0,"","","","","","","","","",8,Incendiary,20,Gasoline or Alcohol,"","","","","","","","","","","","",A petrol bomb was used.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),"","",0,"","","","","","","","","","","","","","","","Officials questioned whether this attack was connected to the murder of Red Army Faction (RAF) member Horst Ludwig Meyer, which occurred several days earlier.","\"\"\"Austrian Embassy Petrol-Bombed","\"\" The Independent",September 17,"1999.\"","","",CETIS,-9,-9
