199407070004,1994,7,7,"",0,"",604,11,Sub-Saharan Africa,Kinshasa,Kinshasa,-4.389166,15.33762,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",14,Private Citizens & Property,84,Political Party Member/Rally,Unknown,House belonging to moderate opposition politician Justin-Marie Bomboko,604,Zaire,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,7,Grenade,"","","","","","","","","","","","",Grenade,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199407080005,1994,7,8,"",0,"",604,11,Sub-Saharan Africa,Kinshasa,Kinshasa,-4.389166,15.33762,1,0,"","",1,1,1,-9,"","",0,1,0,9,Unknown,"","","","",2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,property of Union For Democracy and Social*,Opposition Politician and former PM Etienne Tshisekedi Wa Mulamba,604,Zaire,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199411080007,1994,11,8,"",0,"",604,11,Sub-Saharan Africa,North Kivu,Goma,-1.658501,29.220455,1,0,"","",1,1,1,0,"","",0,1,0,9,Unknown,"","","","",1,Business,"","","",Businessman,604,Zaire,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",0,"","",5,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199504090010,1995,4,9,"",0,"",604,11,Sub-Saharan Africa,South Kivu,Unknown,-2.080972,28.942274,4,0,"","",1,1,1,0,"","",0,1,0,2,Armed Assault,"","","","",14,Private Citizens & Property,"","","",Island in Lake,604,Zaire,"","","","","","","","","","","","","","","","",Hutus Former Soldiers,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,2,Automatic or Semi-Automatic Rifle,"","","","","","","","","","","","",Automatic firearms,2,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199504090011,1995,4,9,"",0,"",604,11,Sub-Saharan Africa,South Kivu,Birava,-2.347778,28.889444,1,0,"","",1,1,1,0,"","",0,1,0,2,Armed Assault,"","","","",14,Private Citizens & Property,65,Refugee (including Camps/IDP/Asylum Seekers),"",Refugee Camp (Rwandan),168,Rwanda,"","","","","","","","","","","","","","","","",Hutus Former Soldiers,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,2,Automatic or Semi-Automatic Rifle,"","","","","","","","","","","","",Automatic firearms,26,"","","","","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
199508050010,1995,8,5,"",0,"",604,11,Sub-Saharan Africa,Unknown,Unknown,"","",5,0,"","",1,1,1,0,"","",0,1,0,2,Armed Assault,"","","","",18,Tourists,97,Tourist,"",Tourist Party,604,Zaire,"","","","","","","","","","","","","","","","",Hutu extremists,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,5,Unknown Gun Type,"","","","","","","","","","","","",Firearm,6,"","",1,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,1,1,0,1,""
199509190009,1995,9,19,"",0,"",604,11,Sub-Saharan Africa,Kinshasa,Kinshasa,-4.389166,15.33762,1,0,"","",1,1,1,-9,"","",0,1,0,2,Armed Assault,"","","","",2,Government (General),18,"Government Personnel (excluding police, military)","",House /Dep Prime Minister,604,Zaire,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,5,"","","","","","","","","","","",5,Firearms,5,Unknown Gun Type,"","","","","","","","","","","","",Firearm,0,"","",1,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199512050016,1995,12,5,"",0,"",604,11,Sub-Saharan Africa,South Kivu,Kamanyola,-2.784557,28.998407,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",19,Transportation,99,Bus (excluding tourists),"",Traffic - Bus,604,Zaire,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,8,Landmine,"","","","","","","","","","","","",Land mine,4,"",0,31,"",0,1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199512250003,1995,12,25,"",0,"",604,11,Sub-Saharan Africa,North Kivu,Goma,-1.658501,29.220455,1,0,"","",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,3,Bombing/Explosion,"","","","",4,Military,34,"Military Personnel (soldiers, troops, officers, forces)","",Soldiers,604,Zaire,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,7,Grenade,"","","","","","","","","","","","",Grenade,5,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199605100005,1996,5,10,"",0,"",604,11,Sub-Saharan Africa,North Kivu,Goma,-1.658501,29.220455,1,0,"","",1,1,1,0,"","",0,1,0,9,Unknown,"","","","",12,NGO,62,International NGO,"",Care-Australia Convoy,422,International,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",13,"","",26,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
199605120004,1996,5,12,"",0,"",604,11,Sub-Saharan Africa,Unknown,Unknown,"","",5,0,"","",1,1,1,0,"","",0,1,0,9,Unknown,"","","","",14,Private Citizens & Property,71,Race/Ethnicity Identified,"",Tutsi Refugees,168,Rwanda,"","","","","","","","","","","","","","","","",Hutu extremists,Rebels,"","","","","",0,"","",0,"","","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",100,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,1,1,1,1,""
199605140002,1996,5,14,"",0,"",604,11,Sub-Saharan Africa,North Kivu,Mokotos,-1.215,28.916944,1,0,"","",1,1,1,0,"","",0,1,0,9,Unknown,"","","","",15,Religious Figures/Institutions,87,Affiliated Institution,"",Monastery,168,Rwanda,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",10,"","",30,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
199605190007,1996,5,19,"",0,"",604,11,Sub-Saharan Africa,South Kivu,Kibumba,-2.997014,28.466619,1,0,"","",1,1,1,-9,"","",0,1,0,2,Armed Assault,"","","","",12,NGO,62,International NGO,COOPI Italian Aid Agency,Aid Worker,604,Zaire,"","","","","","","","","","","","","","","","",Hutu extremists,Rebels,"","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,5,Unknown Gun Type,"","","","","","","","","","","","",Firearm,1,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,1,1,0,1,""
199606050007,1996,6,5,"",0,"",604,11,Sub-Saharan Africa,North Kivu,Bunangana,-1.298456,29.593583,1,0,"","",1,1,1,0,"","",0,1,0,2,Armed Assault,"","","","",14,Private Citizens & Property,75,Village/City/Town/Suburb,"",Village,604,Zaire,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,5,Unknown Gun Type,"","","","","","","","","","","","",Firearm,28,"","",3,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199606280002,1996,6,28,"",0,"",604,11,Sub-Saharan Africa,Bas-Congo,Kibuma,-4.480278,14.411944,1,0,"","",1,1,1,-9,"","",0,1,0,2,Armed Assault,"","","","",14,Private Citizens & Property,65,Refugee (including Camps/IDP/Asylum Seekers),UN,Refugee Camp,422,International,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,5,Unknown Gun Type,"","","","","","","","","","","","",Firearm,8,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
199609070003,1996,9,7,"",0,"",604,11,Sub-Saharan Africa,North Kivu,Goma,-1.658501,29.220455,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",12,NGO,62,International NGO,"",Int Comm Red Cross Bus,422,International,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,8,Landmine,"","","","","","","","","","","","",Land mine,2,"","",33,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
199609120005,1996,9,12,"",0,"",604,11,Sub-Saharan Africa,Unknown,Unknown,"","",5,0,"","",1,1,1,0,"","",0,1,0,2,Armed Assault,"","","","",14,Private Citizens & Property,75,Village/City/Town/Suburb,"",Village,604,Zaire,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,5,Unknown Gun Type,"","","","","","","","","","","","",Firearm,13,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199610060002,1996,10,6,"",0,"",604,11,Sub-Saharan Africa,Unknown,Lerma,"","",5,0,"","",1,1,1,0,"","",0,1,0,9,Unknown,"","","","",1,Business,6,Medical/Pharmaceutical,"",Mission Hospital,198,Sweden,"","","","","","","","","","","","","","","","",Tutsi extremists,Militants,"","","","","",0,"","",0,100,"","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",40,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
199610290003,1996,10,29,"",0,"",604,11,Sub-Saharan Africa,South Kivu,Bukavu,-2.500596,28.866633,1,0,"","",1,1,1,-9,"","",0,1,0,9,Unknown,"","","","",15,Religious Figures/Institutions,85,Religious Figure,"",Roman Catholic Bishop (ambush),604,Zaire,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",1,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199610310005,1996,10,31,"",0,"",604,11,Sub-Saharan Africa,South Kivu,Bukavu,-2.500596,28.866633,1,0,"","",1,1,1,-9,"","",0,1,0,9,Unknown,"","","","",15,Religious Figures/Institutions,87,Affiliated Institution,"",Religious Mission,185,Spain,"","","","","","","","","","","","","","","","",Hutu extremists,Militia,"","","","","",0,"","",0,"","","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",4,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,1,1,1,1,""
199611040004,1996,11,4,"",0,"",604,11,Sub-Saharan Africa,Unknown,Kalana,"","",5,0,"","",1,1,1,-9,"","",0,1,0,6,Hostage Taking (Kidnapping),"","","","",15,Religious Figures/Institutions,85,Religious Figure,"",Roman Catholic Priests,21,Belgium,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",0,"","",0,"","",0,"","","","",1,2,0,"","","",Democratic Republic of the Congo,0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
199611070003,1996,11,7,"",0,"",604,11,Sub-Saharan Africa,South Kivu,Bukavu,-2.500596,28.866633,1,0,"","",1,1,1,-9,"","",0,1,0,9,Unknown,"","","","",15,Religious Figures/Institutions,85,Religious Figure,"",Roman Catholic Priests,185,Spain,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",3,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
