197609220001,1976,9,22,"",0,"",30,3,South America,Rio de Janeiro,Nova Iguaca,-22.756618,-43.460742,1,0,"","",1,1,1,0,"","",0,1,0,6,Hostage Taking (Kidnapping),"","","","",15,Religious Figures/Institutions,85,Religious Figure,Roman Catholic church,"Adriano Hipolito, bishop, nova Iguaza",30,Brazil,"","","","","","","","","","","","","","","","",Brazilian Anti-Communist Alliance (AAB),"","","","","","",0,"","",0,"","","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",0,"","",1,"","",0,"","","","",1,1,0,"","","",Brazil,1,0,"","","","",2,Hostage(s) released by perpetrators,1,"","","","",PGIS,0,0,0,0,""
197610220001,1976,10,22,"",0,"",30,3,South America,Rio de Janeiro,Rio De Janeiro,-22.908278,-43.197026,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",1,Business,"","","",Business owned by Retired Air Force Offical,30,Brazil,"","","","","","","","","","","","","","","","",Popular Revolutionary Vanguard (VPR),"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,"","","","","","",1,3,Minor (likely < $1 million),5000,"",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,0,0,0,""
197706260001,1977,6,26,"",0,"",30,3,South America,Pernambuco,Recife,-8.048021,-34.876338,1,0,"","",1,1,1,0,"","",0,0,0,1,Assassination,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,U.S.,"Unk, U.S. Consul",217,United States,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",0,"","",1,"","",0,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
197800000001,1978,0,0,"",0,"",30,3,South America,Rio Grande do Sul,Porto Alegre,-30.034108,-51.217839,1,0,"","",1,1,1,-9,"","",0,1,0,6,Hostage Taking (Kidnapping),"","","","",14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,"",married couple,218,Uruguay,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","","","","","","","",0,"","","","",0,"","","","","",Brazil,0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
197803180002,1978,3,18,"",1,3/19/1978,30,3,South America,Parana,Curitiba,-25.424354,-49.264884,1,0,"","",1,1,1,-9,"","",0,1,0,6,Hostage Taking (Kidnapping),"","","","",10,Journalists & Media,53,Newspaper Journalist/Staff/Facility,"","Juracilda Veiga, journalist",30,Brazil,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",0,"","",1,"","",0,"","","","",1,1,0,0,1,"",Brazil,0,"","","","","",2,Hostage(s) released by perpetrators,1,"","","","",PGIS,-9,-9,0,-9,""
197807080003,1978,7,8,"",0,"",30,3,South America,Rio de Janeiro,Rio de Janeiro,-22.908278,-43.197026,1,0,"","",1,1,1,-9,"","",0,1,0,6,Hostage Taking (Kidnapping),"","","","",20,Unknown,"","","",unknown,30,Brazil,"","","","","","","","","","","","","","","","",Death Squad,"","","","","","",0,"","",0,4,"","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",1,"","",0,"","",0,"","","","",1,1,0,"","","",Brazil,1,0,"","","","",4,Hostage(s) killed (not during rescue attempt),1,"","","","",PGIS,-9,-9,0,-9,""
197809130001,1978,9,13,"",0,"",30,3,South America,Minas Gerais,Belo Horizonte,-19.924254,-43.935343,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",15,Religious Figures/Institutions,86,Place of Worship,"",Sao Fransisco de Salles Church,30,Brazil,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
197809130002,1978,9,13,"",0,"",30,3,South America,Minas Gerais,Belo Horizonte,-19.924254,-43.935343,1,0,"","",1,1,1,-9,"","",0,1,0,1,Assassination,"","","","",14,Private Citizens & Property,76,House/Apartment/Residence,"",House of Geraldo Marcelo de Almeida,30,Brazil,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
197903220013,1979,3,22,"",0,"",30,3,South America,Rio de Janeiro,Rio de Janeiro,-22.908278,-43.197026,1,0,"","",1,1,1,-9,"","",0,1,0,6,Hostage Taking (Kidnapping),"","","","",7,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)",Brazil Foreign office,"Jose Jobim, 69, ambassador",30,Brazil,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,2,"","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",1,"","",0,"","",0,"","","","",1,1,0,"","","",Brazil,0,"","","","","",4,Hostage(s) killed (not during rescue attempt),1,"","","","",PGIS,-9,-9,0,-9,""
197907090005,1979,7,9,"",0,"",30,3,South America,Minas Gerais,Belo Horizonte,-19.924254,-43.935343,1,0,"","",1,1,1,0,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",10,Journalists & Media,53,Newspaper Journalist/Staff/Facility,Newspaper El Tempo,Minas Gerais Branch,30,Brazil,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",2,Chemical,"","","","","","","","","","","","","","",Sulphuric Acid,0,"","",0,"","",1,3,Minor (likely < $1 million),19000,"",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
197908160002,1979,8,16,"",0,"",30,3,South America,Parana,Cascavel,-24.957869,-53.459308,1,0,"","",1,1,1,0,"","",0,1,0,1,Assassination,"","","","",10,Journalists & Media,53,Newspaper Journalist/Staff/Facility,Newspaper Frontera DO Iguazu,"Antonio Deleno Dos Santos, Owner and Director",30,Brazil,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,2,Automatic or Semi-Automatic Rifle,"","","","","","","","","","","","",Automatic firearm,1,"","",0,"","",0,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
197909280005,1979,9,28,"",0,"",30,3,South America,Espirito Santo,Vitoria,-20.297541,-40.295942,1,0,"","",1,1,1,-9,"","",0,1,0,2,Armed Assault,"","","","",10,Journalists & Media,53,Newspaper Journalist/Staff/Facility,La Tribuna Newspaper,Offices,30,Brazil,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,2,Automatic or Semi-Automatic Rifle,"","","","","","","","","","","","",Automatic firearm,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
197912070003,1979,12,7,"",0,"",30,3,South America,Rio de Janeiro,Baixada Fluminese,-22.672484,-43.179411,2,0,"","",1,1,1,-9,"","",0,1,0,2,Armed Assault,"","","","",20,Unknown,"","",Unk,Unk,30,Brazil,"","","","","","","","","","","","","","","","",Death Squad,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,2,Automatic or Semi-Automatic Rifle,"","","","","","","","","","","","",Automatic firearm,2,"","","","","",0,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
197912210001,1979,12,21,"",0,"",30,3,South America,Rio de Janeiro,Rio de Janeiro,-22.908278,-43.197026,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",15,Religious Figures/Institutions,86,Place of Worship,"",church,30,Brazil,"","","","","","","","","","","","","","","","",Communist Hunters Command (CCC),"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,0,0,0,""
198001270001,1980,1,27,"",0,"",30,3,South America,Rio de Janeiro,Rio de Janeiro,-22.908278,-43.197026,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,"",PMDB Party meeting room,30,Brazil,"","","","","","","","","","","","","","","","",Communist Hunters Command (CCC),"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,"","","","","","",1,4,Unknown,"","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,0,0,0,""
198003180002,1980,3,18,"",0,"",30,3,South America,Rio de Janeiro,Rio de Janeiro,-22.908278,-43.197026,1,0,"","",1,1,1,-9,"","",0,1,0,2,Armed Assault,"","","","",20,Unknown,"","",Unk,Unk,30,Brazil,"","","","","","","","","","","","","","","","",Death Squad,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,2,Automatic or Semi-Automatic Rifle,"","","","","","","","","","","","",Automatic firearm,2,"","",0,"","",0,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
